,stencil,precision,variant,unstructured,z-curves,comp,no-chase,size-x,size-y,size-z,blocks-x,blocks-y,blocks-z,threads-prod,threads-x,threads-y,threads-z,median,avg,min,max
180,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,7,8,508,1,448,64,1,7,118858.0,119093.0,115113.0,123198.0
181,laplap,double,naive,True,False,False,False,512,512,7,8,508,1,448,64,1,7,102322.0,102733.0,99698.0,104972.0
182,laplap,single,idxvar,False,False,False,False,512,512,8,8,508,1,512,64,1,8,48806.0,48910.0,47000.0,56821.0
183,laplap,single,idxvar,True,False,False,False,512,512,8,8,508,1,512,64,1,8,64866.0,64492.0,62218.0,65849.0
184,laplap,single,idxvar,True,True,False,False,512,512,8,8,508,1,512,64,1,8,63944.0,63723.0,62341.0,65066.0
185,laplap,single,idxvar,True,False,False,True,512,512,8,8,508,1,512,64,1,8,71584.0,71178.0,69948.0,72300.0
186,laplap,single,idxvar,True,True,False,True,512,512,8,8,508,1,512,64,1,8,70246.0,70129.0,68703.0,71229.0
187,laplap,single,idxvar,True,False,True,False,512,512,8,8,508,1,512,64,1,8,63836.0,63850.0,63031.0,66110.0
188,laplap,single,idxvar,True,False,True,True,512,512,8,8,508,1,512,64,1,8,57962.0,57906.0,56573.0,59027.0
189,laplap,single,idxvar,True,True,True,False,512,512,8,8,508,1,512,64,1,8,66020.0,66023.0,65010.0,67979.0
190,laplap,single,idxvar,True,True,True,True,512,512,8,8,508,1,512,64,1,8,63286.0,63268.0,62214.0,64596.0
191,laplap,single,idxvar-shared,True,False,False,False,512,512,8,8,508,1,512,64,1,8,66203.0,66315.0,65167.0,68018.0
192,laplap,single,idxvar-kloop,True,False,False,False,512,512,8,8,508,1,64,64,1,1,63912.0,64185.0,62751.0,66235.0
193,laplap,single,idxvar-kloop-sliced,True,False,False,False,512,512,8,8,508,1,512,64,1,8,113344.0,113531.0,108594.0,117801.0
194,laplap,single,naive,True,False,False,False,512,512,8,8,508,1,512,64,1,8,83210.0,83037.0,81768.0,83942.0
195,laplap,double,idxvar,False,False,False,False,512,512,8,8,508,1,512,64,1,8,65742.0,65929.0,62030.0,71415.0
196,laplap,double,idxvar,True,False,False,False,512,512,8,8,508,1,512,64,1,8,90485.0,89960.0,84065.0,94512.0
197,laplap,double,idxvar,True,True,False,False,512,512,8,8,508,1,512,64,1,8,94476.0,93025.0,85315.0,96922.0
198,laplap,double,idxvar,True,False,False,True,512,512,8,8,508,1,512,64,1,8,98852.0,98651.0,90843.0,102949.0
199,laplap,double,idxvar,True,True,False,True,512,512,8,8,508,1,512,64,1,8,98408.0,97307.0,83705.0,102369.0
200,laplap,double,idxvar,True,False,True,False,512,512,8,8,508,1,512,64,1,8,91076.0,90801.0,87814.0,94477.0
201,laplap,double,idxvar,True,False,True,True,512,512,8,8,508,1,512,64,1,8,87640.0,87148.0,80467.0,93723.0
202,laplap,double,idxvar,True,True,True,False,512,512,8,8,508,1,512,64,1,8,95407.0,94980.0,87809.0,99374.0
203,laplap,double,idxvar,True,True,True,True,512,512,8,8,508,1,512,64,1,8,94500.0,93625.0,82544.0,98710.0
204,laplap,double,idxvar-shared,True,False,False,False,512,512,8,8,508,1,512,64,1,8,93216.0,93126.0,89158.0,96710.0
205,laplap,double,idxvar-kloop,True,False,False,False,512,512,8,8,508,1,64,64,1,1,94340.0,93998.0,87579.0,99798.0
206,laplap,double,idxvar-kloop-sliced,True,False,False,False,512,512,8,8,508,1,512,64,1,8,148157.0,148382.0,146263.0,152093.0
207,laplap,double,naive,True,False,False,False,512,512,8,8,508,1,512,64,1,8,106965.0,106644.0,103919.0,108928.0
208,laplap,single,idxvar,False,False,False,False,512,512,9,8,508,2,512,64,1,8,58352.0,58908.0,57137.0,61529.0
209,laplap,single,idxvar,True,False,False,False,512,512,9,8,508,2,512,64,1,8,76828.0,76579.0,74965.0,78420.0
210,laplap,single,idxvar,True,True,False,False,512,512,9,8,508,2,512,64,1,8,78588.0,78800.0,76651.0,81455.0
211,laplap,single,idxvar,True,False,False,True,512,512,9,8,508,2,512,64,1,8,95065.0,95150.0,93907.0,96671.0
212,laplap,single,idxvar,True,True,False,True,512,512,9,8,508,2,512,64,1,8,89316.0,89414.0,88149.0,90495.0
213,laplap,single,idxvar,True,False,True,False,512,512,9,8,508,2,512,64,1,8,76796.0,76806.0,75470.0,78368.0
214,laplap,single,idxvar,True,False,True,True,512,512,9,8,508,2,512,64,1,8,69724.0,69924.0,67883.0,72044.0
215,laplap,single,idxvar,True,True,True,False,512,512,9,8,508,2,512,64,1,8,78616.0,78569.0,77257.0,79808.0
216,laplap,single,idxvar,True,True,True,True,512,512,9,8,508,2,512,64,1,8,74175.0,74514.0,73274.0,76158.0
